business_name,business_address,business_city,business_state,business_postal_code,inspection_date,inspection_score,violation_description,risk_category
Cafe Ethiopia,0878 Valencia St,San Francisco,CA,94110,6/22/16 0:00,98,Unapproved or unmaintained equipment or utensils,Low Risk
PEKING WOK RESTAURANT,4920 03rd St,San Francisco,CA,94124,11/2/16 0:00,,,
TWO JACKS SEAFOOD #2,984 GILMAN Ave,San Francisco,CA,94124,8/4/16 0:00,92,Foods not protected from contamination,Moderate Risk
EL CASTILLITO TAQUERIA INC.,136 CHURCH St,San Francisco,CA,94114,11/4/16 0:00,87,Improper food storage,Low Risk
BUFFALO BURGERS RESTAURANT,5317-19 Geary Blvd,San Francisco,CA,94121,2/9/16 0:00,100,,
IRVING PIZZA,1825 IRVING St,San Francisco,CA,94122,12/14/16 0:00,85,Unclean or unsanitary food contact surfaces,High Risk
KENTUCKY FRIED CHICKEN #50,1900 IRVING St,San Francisco,CA,94122,4/26/16 0:00,88,Unclean or degraded floors walls or ceilings,Low Risk
SHANGRILA VEGETARIAN REST,2026 IRVING St,San Francisco,CA,94122,5/5/16 0:00,,,
JAVA BEACH CAFE,1396 LA PLAYA St,San Francisco,CA,94122,9/23/16 0:00,,,
L'AVENIDA,511 IRVING St,San Francisco,CA,94122,6/16/16 0:00,,,
"MING TAI WUN TUN NOODLE, INC.",2455 NORIEGA St,San Francisco,CA,94122,11/10/16 0:00,,,
VANIDA THAI KITCHEN,3050 TARAVAL St,San Francisco,CA,94116,6/13/16 0:00,87,High risk food holding temperature,High Risk
The Sunset's Best Seafood Restaurant,3060 TARAVAL St,San Francisco,CA,94116,6/14/16 0:00,79,Unclean or degraded floors walls or ceilings,Low Risk
CHICK-N-DELI,5392 MISSION St,San Francisco,CA,94112,7/8/16 0:00,94,Low risk vermin infestation,Low Risk
RAILROAD EXPRESSO CAFE,705  Blvd,San Francisco,CA,94127,2/19/16 0:00,100,,
SERRANO'S PIZZA II,3274 21st St,San Francisco,CA,94110,5/3/16 0:00,81,Foods not protected from contamination,Moderate Risk
HEUNG YUEN RESTAURANT,3279 22nd St,San Francisco,CA,94110,10/6/16 0:00,,,
BIG MOUTH BURGERS,3392 24th St,San Francisco,CA,94110,2/17/16 0:00,90,Food safety certificate or food handler card not available,Low Risk
RINCON PERUANO RESTAURANT,3364 26th St,San Francisco,CA,94110,7/6/16 0:00,88,Inadequate dressing rooms or improper storage of personal items,Low Risk
CHAVITA'S MEXICAN RESTAURANT,3006 MISSION St,San Francisco,CA,94110,5/2/16 0:00,84,Moderate risk vermin infestation,Moderate Risk
VALENCIA PIZZA & PASTA,801 VALENCIA St,San Francisco,CA,94110,1/21/16 0:00,,,
PETES BARBEQUE,2399 MISSION St,San Francisco,CA,94110,6/6/16 0:00,96,Inadequate procedures or records for time as a public health control,Moderate Risk
LA SANTANECA DE LA MISSION,2815 MISSION St,San Francisco,CA,94110,8/19/16 0:00,91,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
PHUKET THAI RESTAURANT,248 DIVISADERO St,San Francisco,CA,94117,7/26/16 0:00,87,Unclean nonfood contact surfaces,Low Risk
IL BORGO,500 FELL St,San Francisco,CA,94102,9/22/16 0:00,,,
ALAMO SQUARE,803 FILLMORE St,San Francisco,CA,94117,9/13/16 0:00,90,Inadequate and inaccessible handwashing facilities,Moderate Risk
LOVE 'N HAIGHT COFFEE & DELI,553 HAIGHT St,San Francisco,CA,94117,8/3/16 0:00,92,Moderate risk food holding temperature,Moderate Risk
PORK STORE CAFE,1451 HAIGHT St,San Francisco,CA,94117,7/19/16 0:00,84,Unauthorized or unsafe use of time as a public health control measure,High Risk
"SANDWICH PLACE, THE",2029 MISSION St,San Francisco,CA,94110,1/22/16 0:00,,,
ARINELL PIZZA,509 VALENCIA St,San Francisco,CA,94110,2/22/16 0:00,84,Moderate risk vermin infestation,Moderate Risk
